datetime,T_outdoor,T_wb,solar,T_room,cooling_load_kW,chiller_power_kW,chw_pump_power_kW,cw_pump_power_kW,ct_fan_power_kW,terminal_fan_power_kW,total_power_kW,chiller_PLR,chiller_COP,T_chw_supply,T_cw_supply,pipe_heat_gain_kW
2024-07-06 01:03:00,7.246747701106193,2.2260087394545947,0.0,7.253464607284401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 01:04:00,7.4483729899170505,3.186141798637117,0.0,7.321035445375488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 01:05:00,6.689731700953214,1.6985150898773855,0.0,7.102175063259174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 01:06:00,6.651023751612117,1.677122373891939,0.0,6.9457699265373725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 01:07:00,5.860805543884618,1.0004262959734,0.0,6.569634474359315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 01:08:00,7.200892483885495,2.508226501782772,0.0,6.788479001101851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 01:09:00,7.619990398589247,2.6119108981962436,0.0,7.076747372382782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 01:10:00,6.687991350035399,1.5073407243306685,0.0,6.941973434555391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 01:11:00,6.918566444245442,2.3949593864063483,0.0,6.9338586991547375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 01:12:00,7.082042996155601,1.7912507562655677,0.0,6.985231231238997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 01:13:00,7.630928535370281,3.3883169829697874,0.0,7.20908157263523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 01:14:00,6.6417950357920565,2.1756199460702694,0.0,7.012414676042439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 01:15:00,8.52374753355577,4.056748240796844,0.0,7.53636355108516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 01:16:00,7.029138155896622,2.123844686476803,0.0,7.360518651081198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
